                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5621,                 4.9481,                 4.2269,                      0,                      0,                      0,                      0,                 4.6729,                 4.4001,                 4.1598,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 4.4561,                 4.9423,                 4.2479,                      0,                      0,                      0,                      0,                  4.675,                 4.4003,                 4.1595,             0.00012755,             0.00012755,             0.00012755
                      3,                 4.6054,                 4.8227,                 4.2276,                      0,                      0,                      0,                      0,                 4.6804,                 4.4018,                 4.1588,             0.00019676,             0.00019676,             0.00019676
                      4,                 4.6075,                  4.782,                 4.2172,                      0,                      0,                      0,                      0,                 4.6803,                 4.4044,                 4.1578,             0.00026479,             0.00026479,             0.00026479
                      5,                 4.3793,                 4.6749,                 4.1764,                      0,                      0,                      0,                      0,                 4.6846,                 4.4172,                 4.1576,             0.00033164,             0.00033164,             0.00033164
                      6,                 4.1791,                 4.5992,                 4.1682,                      0,                      0,                      0,                      0,                 4.6921,                 4.4263,                 4.1588,             0.00039732,             0.00039732,             0.00039732
                      7,                 3.9486,                 4.4171,                 4.1136,                      0,                      0,                      0,                      0,                 4.7068,                 4.4586,                 4.1665,             0.00046181,             0.00046181,             0.00046181
                      8,                  3.887,                 4.3039,                 3.9827,                      0,                      0,                      0,                      0,                 4.7283,                 4.4959,                 4.1801,             0.00052513,             0.00052513,             0.00052513
                      9,                 3.7151,                 4.1189,                 3.8739,                      0,                      0,                      0,                      0,                 4.7827,                 4.5705,                  4.221,             0.00058726,             0.00058726,             0.00058726
                     10,                 3.6199,                 3.9388,                 3.7295,                      0,                      0,                      0,                      0,                 4.8384,                 4.6396,                 4.2715,             0.00064822,             0.00064822,             0.00064822
